"operator","row_number","height","avg_height","stddev_height","ucl","lcl","alert"
"Op-1",5,19.46,19.778,1.062812307,21.2039123395,18.3520876605,false
"Op-1",6,20.36,19.912,1.0908116244,21.3754773657,18.4485226343,false
"Op-1",7,20.22,20.03,1.084573649,21.4851082434,18.5748917566,false
"Op-1",8,21.03,19.934,0.9312249997,21.183369441,18.684630559,false
"Op-1",9,19.78,20.17,0.5988321969,20.9734176996,19.3665823004,false
"Op-1",10,20.71,20.42,0.4768123321,21.0597108722,19.7802891278,false
"Op-1",11,20.62,20.472,0.4827732387,21.1197082677,19.8242917323,false
"Op-1",12,19.51,20.33,0.6506535176,21.2029432971,19.4570567029,false
"Op-1",13,20.06,20.136,0.5215649528,20.8357528135,19.4362471865,false
"Op-1",14,20.3,20.24,0.4832701108,20.8883748916,19.5916251084,false
"Op-1",15,20.25,20.148,0.4095973633,20.6975325286,19.5984674714,false
"Op-1",16,20.52,20.128,0.3823218539,20.6409385928,19.6150614072,false
"Op-1",17,19.33,20.092,0.4563660811,20.704279348,19.479720652,true
"Op-1",18,19.12,19.904,0.6324792487,20.7525599566,19.0554400434,false
"Op-1",19,19.37,19.718,0.6235944195,20.5546397074,18.8813602926,false
"Op-1",20,18.8,19.428,0.6508993778,20.3012731531,18.5547268469,false
"Op-1",21,19.94,19.312,0.4174565846,19.8720767805,18.7519232195,true
"Op-1",22,19.79,19.404,0.4698191141,20.0343284858,18.7736715142,false
"Op-1",23,22.31,20.042,1.3427471839,21.8434843879,18.2405156121,true
"Op-1",24,20.17,20.202,1.289251721,21.9317126929,18.4722873071,false
"Op-1",25,19.54,20.35,1.1193524914,21.8517689569,18.8482310431,false
"Op-1",26,21.22,20.606,1.1481419773,22.1463941054,19.0656058946,false
"Op-10",5,20.31,20.242,0.9402499668,21.5034777049,18.9805222951,false
"Op-10",6,20.91,20.42,0.9714422268,21.7233265132,19.1166734868,false
"Op-10",7,19.15,19.918,0.8046862743,20.9975999259,18.8384000741,false
"Op-10",8,20.35,19.95,0.8212186067,21.0517803774,18.8482196226,false
"Op-10",9,19.9,20.124,0.6523649285,20.9992393958,19.2487606042,false
"Op-10",10,21.38,20.338,0.8683720401,21.5030433468,19.1729566532,false
"Op-10",11,21.13,20.382,0.9092139462,21.6018385139,19.1621614861,false
"Op-10",12,21.42,20.836,0.6774437246,21.7448861315,19.9271138685,false
"Op-10",13,18.58,20.482,1.2311051945,22.1337009415,18.8302990585,true
"Op-10",14,20.47,20.596,1.1894242305,22.19178006,19.00021994,false
"Op-10",15,19.28,20.176,1.2138904399,21.8046049245,18.5473950755,false
"Op-10",16,19.06,19.762,1.1589305415,21.3168684832,18.2071315168,false
"Op-10",17,19.44,19.366,0.6969791962,20.301095717,18.430904283,false
"Op-10",18,21.86,20.022,1.1612148811,21.5799332463,18.4640667537,true
"Op-10",19,21.08,20.144,1.2487914157,21.8194294972,18.4685705028,false
"Op-10",20,20.66,20.42,1.1593963947,21.9754934908,18.8645065092,false
"Op-10",21,19.04,20.416,1.165281082,21.9793886273,18.8526113727,false
"Op-10",22,20.17,20.562,1.0527202857,21.9743724721,19.1496275279,false
"Op-10",23,20.3,20.25,0.7632168761,21.27396289,19.22603711,false
"Op-10",24,21.48,20.33,0.8834591105,21.5152847759,19.1447152241,false
"Op-10",25,20.12,20.222,0.8658637306,21.3836780965,19.0603219035,false
"Op-10",26,21.57,20.728,0.7312113238,21.7090229355,19.7469770645,false
"Op-10",27,19.7,20.634,0.8426031094,21.7644706984,19.5035293016,false
"Op-10",28,20.43,20.66,0.8316549765,21.7757822368,19.5442177632,false
"Op-10",29,21.53,20.67,0.8441859985,21.8025943669,19.5374056331,false
"Op-10",30,18.64,20.374,1.2480905416,22.0484891758,18.6995108242,true
"Op-11",5,21.39,20.668,0.7573770527,21.6841279447,19.6518720553,false
"Op-11",6,19.87,20.64,0.7896834809,21.6994715664,19.5805284336,false
"Op-11",7,21.15,20.916,0.6357515238,21.7689501744,20.0630498256,false
"Op-11",8,18.54,20.346,1.1632841441,21.9067094541,18.7852905459,true
"Op-11",9,19.75,20.14,1.1584040746,21.6941621537,18.5858378463,false
"Op-11",10,21.65,20.192,1.2320389604,21.8449537199,18.5390462801,false
"Op-11",11,19.97,20.212,1.2263033882,21.8572586423,18.5667413577,false
"Op-11",12,19.56,19.894,1.1241574623,21.4022155018,18.3857844982,false
"Op-11",13,20.31,20.248,0.8318773948,21.3640806422,19.1319193578,false
"Op-11",14,18.91,20.08,1.0209309477,21.4497225997,18.7102774003,false
"Op-11",15,19.99,19.748,0.5388135113,20.4708941831,19.0251058169,false
"Op-11",16,20.69,19.892,0.6884184774,20.8156103074,18.9683896926,false
"Op-12",5,19.79,20.008,1.21910623,21.6436026412,18.3723973588,false
"Op-12",6,18.81,19.868,1.3260920028,21.6471391177,18.0888608823,false
"Op-12",7,19.03,19.292,0.6905939473,20.2185290066,18.3654709934,false
"Op-12",8,20.67,19.38,0.8497058314,20.52,18.24,true
"Op-12",9,18.78,19.416,0.8113445631,20.5045329577,18.3274670423,false
"Op-12",10,20.79,19.616,1.0223893583,20.9876792628,18.2443207372,false
"Op-12",11,18.99,19.652,0.9895554557,20.9796279599,18.3243720401,false
"Op-12",12,20.97,20.04,1.0623558726,21.4652999684,18.6147000316,false
"Op-12",13,21.54,20.214,1.2466073961,21.8864993274,18.5415006726,false
"Op-12",14,18.62,20.182,1.2937812798,21.9177897338,18.4462102662,false
"Op-12",15,19.08,19.84,1.3186546174,21.609160818,18.070839182,false
"Op-12",16,21.84,20.41,1.4670037491,22.3781920638,18.4418079362,false
"Op-12",17,20.63,20.342,1.4422274439,22.2769511622,18.4070488378,false
"Op-12",18,19.52,19.938,1.2985068348,21.6801297311,18.1958702689,false
"Op-12",19,21.02,20.418,1.120946029,21.921906912,18.914093088,false
"Op-12",20,20.48,20.698,0.8437535185,21.8300141342,19.5659858658,false
"Op-13",5,21.93,20.182,1.1862208901,21.7734823279,18.5905176721,true
"Op-13",6,19.04,20.052,1.2851147809,21.7761624053,18.3278375947,false
"Op-13",7,18.78,19.938,1.3844023981,21.7953707223,18.0806292777,false
"Op-13",8,18.88,19.544,1.3395633617,21.3412128422,17.7467871578,false
"Op-13",9,21.07,19.94,1.459126451,21.8976235593,17.9823764407,false
"Op-13",10,19.17,19.388,0.9520346632,20.6652885344,18.1107114656,false
"Op-13",11,20.57,19.694,1.05277253,21.1064425652,18.2815574348,false
"Op-13",12,20.42,20.022,0.9469794084,21.2925061983,18.7514938017,false
"Op-13",13,18.87,20.02,0.95,21.2945587472,18.7454412528,false
"Op-13",14,20.15,19.836,0.7673200115,20.8654678237,18.8065321763,false
"Op-13",15,20.21,20.044,0.6773330052,20.9527375859,19.1352624141,false
"Op-13",16,21.6,20.25,0.9704895672,21.5520483862,18.9479516138,true
"Op-13",17,21.11,20.388,1.0467664496,21.7923845627,18.9836154373,false
"Op-13",18,18.88,20.39,1.0431442853,21.7895249194,18.9904750806,true
"Op-13",19,20.99,20.558,1.062294686,21.9832178781,19.1327821219,false
"Op-13",20,21.36,20.788,1.0921858816,22.2533211252,19.3226788748,false
"Op-13",21,21.56,20.78,1.0848732645,22.2355102198,19.3244897802,false
"Op-14",5,21.72,20.668,0.9236178864,21.9071634275,19.4288365725,false
"Op-14",6,18.8,20.49,1.2027884269,22.1037100111,18.8762899889,true
"Op-14",7,19.92,20.158,1.0455237922,21.5607173628,18.7552826372,false
"Op-14",8,21.2,20.338,1.1484859599,21.8788556065,18.7971443935,false
"Op-14",9,18.54,20.036,1.411552337,21.9297961876,18.1422038124,false
"Op-14",10,19.59,19.61,1.0518555034,21.0212122448,18.1987877552,false
"Op-14",11,18.83,19.616,1.0461500848,21.0195576226,18.2124423774,false
"Op-14",12,18.68,19.368,1.1015761435,20.8459194836,17.8900805164,false
"Op-14",13,19.68,19.064,0.5321935738,19.7780126049,18.3499873951,false
"Op-14",14,21.6,19.676,1.1637138824,21.2372860084,18.1147139916,true
"Op-14",15,19.97,19.752,1.1690893892,21.3204980076,18.1835019924,false
"Op-14",16,21.45,20.276,1.2376712003,21.9365101626,18.6154898374,false
"Op-14",17,19.26,20.392,1.0659596615,21.8221349587,18.9618650413,false
"Op-14",18,20.83,20.622,0.99567565,21.9578390622,19.2861609378,false
"Op-14",19,19.61,20.224,0.9001555421,21.4316853895,19.0163146105,false
"Op-14",20,19.7,20.17,0.926903447,21.4135714696,18.9264285304,false
"Op-14",21,21.78,20.236,1.045050238,21.6380820233,18.8339179767,true
"Op-14",22,18.75,20.134,1.180266919,21.7174942374,18.5505057626,false
"Op-14",23,18.9,19.748,1.2109376532,21.3726433455,18.1233566545,false
"Op-14",24,19.78,19.782,1.2084783821,21.403343887,18.160656113,false
"Op-14",25,21.61,20.164,1.4531792732,22.113644583,18.214355417,false
"Op-14",26,19.61,19.73,1.1402412026,21.2597941038,18.2002058962,false
"Op-14",27,20.03,19.986,1.0003149504,21.3280633368,18.6439366632,false
"Op-14",28,21.11,20.428,0.8817142394,21.6109437856,19.2450562144,false
"Op-14",29,20.53,20.578,0.8043133718,21.6570996247,19.4989003753,false
"Op-14",30,20.51,20.358,0.5668509504,21.118510355,19.597489645,false
"Op-14",31,21.57,20.75,0.5971599451,21.5511741384,19.9488258616,true
"Op-14",32,21.15,20.974,0.4519734505,21.5803860157,20.3676139843,false
"Op-14",33,21.07,20.966,0.449310583,21.568813404,20.363186596,false
"Op-14",34,19.99,20.858,0.6147519825,21.6827763333,20.0332236667,true
"Op-14",35,20.49,20.854,0.6176406722,21.6826519173,20.0253480827,false
"Op-15",5,21.01,20.404,1.6878329301,22.6684654998,18.1395345002,false
"Op-15",6,20.8,20.838,1.3659319163,22.6705899705,19.0054100295,false
"Op-15",7,20.08,21.14,0.7806727868,22.1873824516,20.0926175484,true
"Op-15",8,19.48,20.67,0.9503683496,21.9450529401,19.3949470599,false
"Op-15",9,19.67,20.208,0.6762913573,21.1153400686,19.3006599314,false
"Op-15",10,21.91,20.388,0.9900858549,21.716339565,19.059660435,true
"Op-15",11,18.71,19.97,1.1930423295,21.5706342493,18.3693657507,false
"Op-15",12,21.9,20.334,1.4784890936,22.3176012704,18.3503987296,false
"Op-15",13,19.79,20.396,1.4397152496,22.3275806998,18.4644193002,false
"Op-15",14,19.03,20.268,1.5449983819,22.3408328442,18.1951671558,false
"Op-15",15,20.59,20.004,1.2852159352,21.7282981181,18.2797018819,false
"Op-15",16,21.43,20.548,1.1711618163,22.1192784604,18.9767215396,false
"Op-15",17,20.95,20.358,0.9538972691,21.6377874824,19.0782125176,false
"Op-15",18,20.61,20.522,0.9008440487,21.730609118,19.313390882,false
"Op-15",19,20.77,20.87,0.3449637662,21.3328174586,20.4071825414,false
"Op-16",5,21.99,21.034,0.9686743519,22.3336130193,19.7343869807,false
"Op-16",6,19.72,21.074,0.8915884701,22.2701914562,19.8778085438,true
"Op-16",7,19.14,20.626,1.206536365,22.2447383976,19.0072616024,false
"Op-16",8,20.23,20.354,1.0817254735,21.805287015,18.902712985,false
"Op-16",9,21.78,20.572,1.2612969516,22.2642074341,18.8797925659,false
"Op-16",10,20.9,20.354,1.0274628947,21.7324861262,18.9755138738,false
"Op-16",11,20.71,20.552,0.9684368849,21.8512944239,19.2527055761,false
"Op-16",12,19.22,20.568,0.9395051889,21.8284784806,19.3075215194,true
"Op-16",13,19.08,20.338,1.1582400442,21.8919420839,18.7840579161,false
"Op-16",14,19.69,19.92,0.8415759027,21.049092556,18.790907444,false
"Op-16",15,20.48,19.836,0.7333007569,20.8198262042,18.8521737958,false
"Op-16",16,20.48,19.79,0.669178601,20.6877973045,18.8922026955,false
"Op-16",17,20.14,19.974,0.5957180541,20.7732396387,19.1747603613,false
"Op-16",18,20.5,20.258,0.3513118273,20.7293342763,19.7866657237,false
"Op-16",19,20.37,20.394,0.1509304476,20.5964944444,20.1915055556,false
"Op-16",20,20.99,20.496,0.3110144691,20.913269697,20.078730303,true
"Op-16",21,21.67,20.734,0.6086296082,21.5505623063,19.9174376937,true
"Op-16",22,20.19,20.744,0.596724392,21.5445897826,19.9434102174,false
"Op-16",23,21.59,20.962,0.6787635818,21.8726569058,20.0513430942,false
"Op-16",24,21.29,21.146,0.5980635418,21.9483864406,20.3436135594,false
"Op-16",25,21.85,21.318,0.6622084264,22.206445834,20.429554166,false
"Op-17",5,19.09,20.378,1.2436719825,22.0465610567,18.7094389433,false
"Op-17",6,20.34,20.216,1.1684519673,21.7836428165,18.6483571835,false
"Op-17",7,21.53,20.244,1.2047323354,21.860318038,18.627681962,false
"Op-17",8,21.41,20.264,1.2274689405,21.9108223948,18.6171776052,false
"Op-17",9,19.53,20.38,1.0921996155,21.8453395511,18.9146604489,false
"Op-17",10,21.3,20.822,0.8627108438,21.979448055,19.664551945,false
"Op-17",11,21.41,21.036,0.8458013951,22.170761649,19.901238351,false
"Op-17",12,20.1,20.75,0.8781514676,21.9281638256,19.5718361744,false
"Op-17",13,19.97,20.462,0.8430124554,21.5930198937,19.3309801063,false
"Op-17",14,18.66,20.288,1.1258197014,21.7984456296,18.7775543704,true
"Op-17",15,21.96,20.42,1.299442188,22.1633846391,18.6766153609,false
"Op-17",16,21.86,20.51,1.3970683591,22.3843638921,18.6356361079,false
"Op-17",17,21.4,20.77,1.4224275025,22.6783867533,18.8616132467,false
"Op-17",18,21.81,21.138,1.4015776825,23.0184137843,19.2575862157,false
"Op-17",19,19.57,21.32,1.0012741882,22.6633502894,19.9766497106,true
"Op-17",20,21.76,21.28,0.9729080121,22.5852930705,19.9747069295,false
"Op-17",21,21.47,21.202,0.9294460716,22.4489827585,19.9550172415,false
"Op-17",22,19.02,20.726,1.3270757326,22.5064589296,18.9455410704,false
"Op-17",23,19.87,20.338,1.2092849127,21.9604259613,18.7155740387,false
"Op-18",5,20.47,20.66,1.2959359552,22.3986805342,18.9213194658,false
"Op-18",6,21.39,20.56,1.1924554499,22.1598468677,18.9601531323,false
"Op-18",7,18.54,20.196,1.505466705,22.2157955342,18.1762044658,false
"Op-18",8,21.59,20.146,1.439940971,22.0778835369,18.2141164631,false
"Op-18",9,21.64,20.726,1.310240436,22.483872009,18.968127991,false
"Op-18",10,20.48,20.728,1.3097595199,22.4852267924,18.9707732076,false
"Op-18",11,20.77,20.604,1.2598134783,22.2942171458,18.9137828542,false
"Op-18",12,21.85,21.266,0.6020215943,22.0736967253,20.4583032747,false
"Op-18",13,20.79,21.106,0.6006912685,21.9119119059,20.3000880941,false
"Op-18",14,20.61,20.9,0.5458937626,21.6323933369,20.1676066631,false
"Op-18",15,21.55,21.114,0.5497999636,21.8516340556,20.3763659444,false
"Op-18",16,18.51,20.662,1.3086328744,22.4177152389,18.9062847611,true
"Op-18",17,20.6,20.412,1.1324839955,21.9313867184,18.8926132816,false
"Op-18",18,20.83,20.42,1.1359577457,21.9440472434,18.8959527566,false
"Op-18",19,20.46,20.39,1.1316580756,21.9082786306,18.8717213694,false
"Op-18",20,19.12,19.904,1.025782628,21.2802318119,18.5277681881,false
"Op-18",21,18.86,19.974,0.9125678057,21.1983381886,18.7496618114,false
"Op-18",22,20.48,19.95,0.8933644273,21.1485741529,18.7514258471,false
"Op-18",23,19.49,19.682,0.7534056013,20.6927996834,18.6712003166,false
"Op-18",24,18.67,19.324,0.7156325873,20.2841218673,18.3638781327,false
"Op-18",25,20.06,19.512,0.7700454532,20.5451243875,18.4788756125,false
"Op-18",26,21.31,20.002,0.9973815719,21.3401277966,18.6638722034,false
"Op-18",27,21.9,20.286,1.3181160799,22.0544382941,18.5175617059,false
"Op-18",28,20.18,20.424,1.2482107194,22.0986504113,18.7493495887,false
"Op-18",29,19.97,20.684,0.86944235,21.8504793183,19.5175206817,false
"Op-19",5,20.28,20.358,1.2095949735,21.9808419516,18.7351580484,false
"Op-19",6,21.02,20.162,0.9222906266,21.3993827217,18.9246172783,false
"Op-19",7,19.49,20.324,0.6177620901,21.1528148165,19.4951851835,true
"Op-19",8,20.92,20.506,0.6359087985,21.3591611806,19.6528388194,false
