rank,title,name,ticker,url,hq,sector,industry,employees,revenues,revenues_change,profits,profits_change,assets,equity
1,Walmart,"Wal-Mart Stores, Inc.",WMT,http://www.walmart.com,"Bentonville, AR",Retailing,General Merchandisers,2300000,485873,0.8,13643,-7.2,198825,77798
2,Berkshire Hathaway,Berkshire Hathaway Inc.,BRKA,http://www.berkshirehathaway.com,"Omaha, NE",Financials,Insurance: Property and Casualty (Stock),367700,223604,6.1,24074,0,620854,283001
3,Apple,"Apple, Inc.",AAPL,http://www.apple.com,"Cupertino, CA",Technology,"Computers, Office Equipment",116000,215639,-7.7,45687,-14.4,321686,128249
4,Exxon Mobil,Exxon Mobil Corporation,XOM,http://www.exxonmobil.com,"Irving, TX",Energy,Petroleum Refining,72700,205004,-16.7,7840,-51.5,330314,167325
5,McKesson,McKesson Corporation,MCK,http://www.mckesson.com,"San Francisco, CA",Wholesalers,Wholesalers: Health Care,68000,192487,6.2,2258,53,56563,8924
6,UnitedHealth Group,UnitedHealth Group Incorporated,UNH,http://www.unitedhealthgroup.com,"Minnetonka, MN",Health Care,Health Care: Insurance and Managed Care,230000,184840,17.7,7017,20.7,122810,38274
7,CVS Health,CVS Health Corporation,CVS,http://www.cvshealth.com,"Woonsocket, RI",Health Care,Health Care: Pharmacy and Other Services,204000,177526,15.8,5317,1.5,94462,36830
8,General Motors,General Motors Company,GM,http://www.gm.com,"Detroit, MI",Motor Vehicles & Parts,Motor Vehicles and Parts,225000,166380,9.2,9427,-2.7,221690,43836
9,AT&T,AT&T Inc.,T,http://www.att.com,"Dallas, TX",Telecommunications,Telecommunications,268540,163786,11.6,12976,-2.8,403821,123135
10,Ford Motor,Ford Motor Company,F,http://www.ford.com,"Dearborn, MI",Motor Vehicles & Parts,Motor Vehicles and Parts,201000,151800,1.5,4596,-37.7,237951,29170
11,AmerisourceBergen,AmerisourceBergen Corp.,ABC,http://www.amerisourcebergen.com,"Chesterbrook, PA",Wholesalers,Wholesalers: Health Care,18500,146850,8,1427.9,NA,33656,2129
12,Amazon.com,"Amazon.com, Inc.",AMZN,http://www.amazon.com,"Seattle, WA",Technology,Internet Services and Retailing,341400,135987,27.1,2371,297.8,83402,19285
13,General Electric,General Electric Company,GE,http://www.ge.com,"Boston, MA",Industrials,Industrial Machinery,295000,126661,-9.8,8831,NA,365183,75828
14,Verizon,Verizon Communications Inc.,VZ,http://www.verizon.com,"New York, NY",Telecommunications,Telecommunications,160900,125980,-4.3,13127,-26.6,244180,22524
15,Cardinal Health,"Cardinal Health, Inc.",CAH,http://www.cardinalhealth.com,"Dublin, OH",Wholesalers,Wholesalers: Health Care,37300,121546,18.5,1427,17.4,34122,6554
16,Costco,Costco Wholesale Corporation,COST,http://www.costco.com,"Issaquah, WA",Retailing,General Merchandisers,172000,118719,2.2,2350,-1.1,33163,12079
17,Walgreens Boots Alliance,"Walgreens Boots Alliance, Inc",WBA,http://www.walgreensbootsalliance.com,"Deerfield, IL",Food & Drug Stores,Food and Drug Stores,300000,117351,13.4,4173,NA,72688,29880
18,Kroger,The Kroger Company,KR,http://www.thekrogerco.com,"Cincinnati, OH",Food & Drug Stores,Food and Drug Stores,443000,115337,5,1975,-3.1,36505,6698
19,Chevron,Chevron Corporation,CVX,http://www.chevron.com,"San Ramon, CA",Energy,Petroleum Refining,55200,107567,-18,-497,-110.8,260078,145556
20,Fannie Mae,Fannie Mae,FNMA,http://www.fanniemae.com,"Washington, DC",Financials,Diversified Financials,7000,107162,-2.9,12313,12.4,3287968,6071
21,J.P. Morgan Chase,JPMorgan Chase & Co.,JPM,http://www.jpmorganchase.com,"New York, NY",Financials,Commercial Banks,243355,105486,4.4,24733,1.2,2490972,254190
22,Express Scripts Holding,Express Scripts Holding Company,ESRX,http://www.express-scripts.com,"St. Louis, MO",Health Care,Health Care: Pharmacy and Other Services,25600,100288,-1.4,3404.4,37.5,51745,16236
23,Home Depot,"The Home Depot, Inc.",HD,http://www.homedepot.com,"Atlanta, GA",Retailing,Specialty Retailers: Other,406000,94595,6.9,7957,13.5,42966,4333
24,Boeing,The Boeing Company,BA,http://www.boeing.com,"Chicago, IL",Aerospace & Defense,Aerospace and Defense,150540,94571,-1.6,4895,-5.4,89997,817
25,Wells Fargo,Wells Fargo & Company,WFC,http://www.wellsfargo.com,"San Francisco, CA",Financials,Commercial Banks,269100,94176,4.6,21938,-4.2,1930115,199581
26,Bank of America Corp.,Bank of America Corporation,BAC,http://www.bankofamerica.com,"Charlotte, NC",Financials,Commercial Banks,208024,93662,0.7,17906,12.7,2187702,266840
27,Alphabet,Alphabet Inc.,GOOGL,http://www.abc.xyz,"Mountain View, CA",Technology,Internet Services and Retailing,72053,90272,20.4,19478,19.1,167497,139036
28,Microsoft,Microsoft Corporation,MSFT,http://www.microsoft.com,"Redmond, WA",Technology,Computer Software,114000,85320,-8.8,16798,37.8,193694,71997
29,Anthem,"Anthem, Inc.",ANTM,http://www.antheminc.com,"Indianapolis, IN",Health Care,Health Care: Insurance and Managed Care,53000,84863,7.2,2469.8,-3.5,65083,25100
30,Citigroup,Citigroup Inc.,C,http://www.citigroup.com,"New York, NY",Financials,Commercial Banks,219000,82386,-6.7,14912,-13.5,1792077,225120
31,Comcast,Comcast Corporation,CMCSA,http://www.comcastcorporation.com,"Philadelphia, PA",Telecommunications,Telecommunications,159000,80403,7.9,8695,6.5,180500,53943
32,IBM,International Business Machines Corporation,IBM,http://www.ibm.com,"Armonk, NY",Technology,Information Technology Services,414400,79919,-3.1,11872,-10,117470,18246
33,State Farm Insurance Cos.,State Farm Insurance Cos.,NA,http://www.statefarm.com,"Bloomington, IL",Financials,Insurance: Property and Casualty (Mutual),68234,76132,0.6,350.3,-94.4,256030,87592
34,Phillips 66,Phillips 66,PSX,http://www.phillips66.com,"Houston, TX",Energy,Petroleum Refining,14800,72396,-16.9,1555,-63.2,51653,22390
35,Johnson & Johnson,Johnson & Johnson,JNJ,http://www.jnj.com,"New Brunswick, NJ",Health Care,Pharmaceuticals,126400,71890,2.6,16540,7.3,141208,70418
36,Procter & Gamble,The Procter & Gamble Company,PG,http://www.pg.com,"Cincinnati, OH",Household Products,Household and Personal Products,105000,71726,-8.9,10508,49.3,127136,57341
37,Valero Energy,Valero Energy Corporation,VLO,http://www.valero.com,"San Antonio, TX",Energy,Petroleum Refining,9996,70166,-14.2,2289,-42.6,46173,20024
38,Target,Target Corporation,TGT,http://www.target.com,"Minneapolis, MN",Retailing,General Merchandisers,323000,69495,-5.8,2737,-18.6,37431,10953
39,Freddie Mac,Freddie Mac,FMCC,http://www.freddiemac.com,"McLean, VA",Financials,Diversified Financials,5982,65665,3.4,7815,22.6,2023376,5075
40,Lowe’s,"Lowe's Companies, Inc.",LOW,http://www.lowes.com,"Mooresville, NC",Retailing,Specialty Retailers: Other,240000,65017,10.1,3093,21.5,34408,6434
41,Dell Technologies,Dell Technologies Inc.,NA,http://www.delltechnologies.com,"Round Rock, TX",Technology,"Computers, Office Equipment",138000,64806,18.1,-1672,NA,118206,13243
42,MetLife,"MetLife, Inc.",MET,http://www.metlife.com,"New York, NY",Financials,"Insurance: Life, Health (Stock)",58000,63476,-9.3,800,-84.9,898764,67309
43,Aetna,Aetna Inc.,AET,http://www.aetna.com,"Hartford, CT",Health Care,Health Care: Insurance and Managed Care,49500,63155,4.7,2271,-5,69146,17881
44,PepsiCo,"PepsiCo, Inc.",PEP,http://www.pepsico.com,"Purchase, NY","Food, Beverages & Tobacco",Food Consumer Products,264000,62799,-0.4,6329,16.1,74129,11095
45,Archer Daniels Midland,Archer-Daniels-Midland Company,ADM,http://www.adm.com,"Chicago, IL","Food, Beverages & Tobacco",Food Production,31800,62346,-7.9,1279,-30.8,39769,17173
46,UPS,"United Parcel Service, Inc.",UPS,http://www.ups.com,"Atlanta, GA",Transportation,"Mail, Package, and Freight Delivery",335520,60906,4.4,3431,-29.2,40377,405
47,Intel,Intel Corporation,INTC,http://www.intel.com,"Santa Clara, CA",Technology,Semiconductors and Other Electronic Components,106000,59387,7.3,10316,-9.7,113327,66226
48,Prudential Financial,"Prudential Financial, Inc.",PRU,http://www.prudential.com,"Newark, NJ",Financials,"Insurance: Life, Health (Stock)",49739,58779,2.9,4368,-22.6,783962,45863
49,Albertsons Cos.,"Albertsons Companies, Inc.",NA,http://www.albertsons.com,"Boise, ID",Food & Drug Stores,Food and Drug Stores,274000,58734,115.9,-502.2,NA,23770,1613
50,United Technologies,United Technologies Corporation,UTX,http://www.utc.com,"Farmington, CT",Aerospace & Defense,Aerospace and Defense,201600,57244,-6.2,5055,-33.6,89706,27579
51,Marathon Petroleum,Marathon Petroleum Corporation,MPC,http://www.marathonpetroleum.com,"Findlay, OH",Energy,Petroleum Refining,44460,55858,-13.5,1174,-58.8,44413,13557
52,Disney,The Walt Disney Company,DIS,http://www.disney.com,"Burbank, CA",Media,Entertainment,195000,55632,6,9391,12,92033,43265
53,Humana,Humana Inc.,HUM,http://www.humana.com,"Louisville, KY",Health Care,Health Care: Insurance and Managed Care,51600,54379,0.2,614,-51.9,25396,10685
54,Pfizer,Pfizer Inc.,PFE,http://www.pfizer.com,"New York, NY",Health Care,Pharmaceuticals,96500,52824,8.1,7215,3.7,171615,59544
55,AIG,"American International Group, Inc.",AIG,http://www.aig.com,"New York, NY",Financials,Insurance: Property and Casualty (Stock),56400,52367,-10.2,-849,-138.7,498264,76300
56,Lockheed Martin,Lockheed Martin Corporation,LMT,http://www.lockheedmartin.com,"Bethesda, MD",Aerospace & Defense,Aerospace and Defense,97000,50658,9.8,5302,47.1,47806,1511
57,Sysco,Sysco Corporation,SYY,http://www.sysco.com,"Houston, TX",Wholesalers,Wholesalers: Food and Grocery,51900,50367,3.5,949.6,38.3,16722,3480
58,FedEx,FedEx Corporation,FDX,http://www.fedex.com,"Memphis, TN",Transportation,"Mail, Package, and Freight Delivery",335767,50365,6.1,1820,73.3,46064,13784
59,Hewlett Packard Enterprise,Hewlett Packard Enterprise Company,HPE,http://www.hpe.com,"Palo Alto, CA",Technology,Information Technology Services,195000,50123,6.1,3161,NA,79679,31448
60,Cisco Systems,"Cisco Systems, Inc.",CSCO,http://www.cisco.com,"San Jose, CA",Technology,Network and Other Communications Equipment,73700,49247,0.2,10739,19.6,121652,63586
61,HP,HP Inc.,HPQ,http://www.hp.com,"Palo Alto, CA",Technology,"Computers, Office Equipment",49000,48238,-53.3,2496,-45.2,29010,-3889
62,Dow Chemical,The Dow Chemical Company,DOW,http://www.dow.com,"Midland, MI",Chemicals,Chemicals,56000,48158,-1.3,4318,-43.8,79511,25987
63,HCA Holdings,"HCA Holdings, Inc.",HCA,http://www.hcahealthcare.com,"Nashville, TN",Health Care,Health Care: Medical Facilities,210500,44747,2.7,2890,35.7,33758,-7302
64,Coca-Cola,The Coca-Cola Company,KO,http://www.coca-colacompany.com,"Atlanta, GA","Food, Beverages & Tobacco",Beverages,100300,41863,-5.5,6527,-11.2,87270,23062
65,New York Life Insurance,New York Life Insurance Company,NA,http://www.newyorklife.com,"New York, NY",Financials,"Insurance: Life, Health (Mutual)",11320,40787,-11.1,1088.1,324.1,287196,20108
66,Centene,Centene Corporation,CNC,http://www.centene.com,"St. Louis, MO",Health Care,Health Care: Insurance and Managed Care,30500,40721,78.6,562,58.3,20197,5895
67,American Airlines Group,American Airlines Group Inc.,AAL,http://www.aa.com,"Fort Worth, TX",Transportation,Airlines,122300,40180,-2,2676,-64.8,51274,3785
68,Nationwide,Nationwide Mutual Insurance Co.,NA,http://www.nationwide.com,"Columbus, OH",Financials,Insurance: Property and Casualty (Mutual),34320,40074,-0.4,334.3,-42.4,197790,15537
69,Merck,"Merck & Co., Inc.",MRK,http://www.merck.com,"Kenilworth, NJ",Health Care,Pharmaceuticals,68000,39807,0.8,3920,-11.8,95377,40088
70,Cigna,CIGNA Corporation,CI,http://www.cigna.com,"Bloomfield, CT",Health Care,Health Care: Insurance and Managed Care,41000,39668,4.7,1867,-10.8,59360,13723
71,Delta Air Lines,"Delta Air Lines, Inc.",DAL,http://www.delta.com,"Atlanta, GA",Transportation,Airlines,83756,39639,-2.6,4373,-3.4,51261,12287
72,Best Buy,"Best Buy Co., Inc.",BBY,http://www.bestbuy.com,"Richfield, MN",Retailing,Specialty Retailers: Other,125000,39403,-0.9,1228,36.9,13856,4709
73,Honeywell International,Honeywell International Inc.,HON,http://www.honeywell.com,"Morris Plains, NJ",Industrials,"Electronics, Electrical Equipment",131000,39302,1.9,4809,0.9,54146,19369
74,Caterpillar,Caterpillar Inc.,CAT,http://www.caterpillar.com,"Peoria, IL",Industrials,Construction and Farm Machinery,95400,38537,-18,-67,-103.2,74704,13137
75,Liberty Mutual Insurance Group,Liberty Mutual Holding Company Inc.,NA,http://www.libertymutual.com,"Boston, MA",Financials,Insurance: Property and Casualty (Stock),50000,38308,-2.9,1006,95.7,125592,20366
76,Morgan Stanley,Morgan Stanley,MS,http://www.morganstanley.com,"New York, NY",Financials,Commercial Banks,55311,37949,0.1,5979,-2.4,814949,76050
77,Massachusetts Mutual Life Insurance,Massachusetts Mutual Life Insurance Company,NA,http://www.massmutual.com,"Springfield, MA",Financials,"Insurance: Life, Health (Mutual)",11737,37788,-1.2,1273.5,-10.6,271040,15424
78,Goldman Sachs Group,"The Goldman Sachs Group, Inc.",GS,http://www.gs.com,"New York, NY",Financials,Commercial Banks,34400,37712,-3.8,7398,21.6,860165,86893
79,Energy Transfer Equity,"Energy Transfer Equity, L.P.",ETE,http://www.energytransfer.com,"Dallas, TX",Energy,Pipelines,30992,37504,-11,995,-16.3,79011,-1694
80,TIAA,Teachers Insurance and Annuity Association,NA,http://www.tiaa.org,"New York, NY",Financials,"Insurance: Life, Health (Mutual)",12997,37105,5.5,1492.3,22.9,523194,35583
81,Oracle,Oracle Corporation,ORCL,http://www.oracle.com,"Redwood City, CA",Technology,Computer Software,136000,37047,-3.1,8901,-10.4,112180,47289
82,Tyson Foods,"Tyson Foods, Inc.",TSN,http://www.tysonfoods.com,"Springdale, AR","Food, Beverages & Tobacco",Food Production,114000,36881,-10.9,1768,44.9,22373,9608
83,United Continental Holdings,"United Continental Holdings, Inc.",UAL,http://www.unitedcontinentalholdings.com,"Chicago, IL",Transportation,Airlines,88000,36556,-3.5,2263,-69.2,40140,8659
84,Allstate,The Allstate Corporation,ALL,http://www.allstate.com,"Northbrook, IL",Financials,Insurance: Property and Casualty (Stock),43275,36534,2.5,1877,-13.5,108610,20573
85,Publix Super Markets,"Publix Super Markets, Inc.",NA,http://www.publix.com,"Lakeland, FL",Food & Drug Stores,Food and Drug Stores,191000,34274,5.1,2025.7,3.1,17464,13473
86,American Express,American Express Company,AXP,http://www.americanexpress.com,"New York, NY",Financials,Diversified Financials,56400,33823,-1.8,5408,4.7,158893,20501
87,TJX,"The TJX Companies, Inc.",TJX,http://www.tjx.com,"Framingham, MA",Retailing,Specialty Retailers: Apparel,235000,33184,7.2,2298.2,0.9,12884,4511
88,Nike,"Nike, Inc.",NKE,http://www.nike.com,"Beaverton, OR",Apparel,Apparel,70700,32376,5.8,3760,14.9,21396,12258
89,Exelon,Exelon Corporation,EXC,http://www.exeloncorp.com,"Chicago, IL",Energy,Utilities: Gas and Electric,34396,31360,6.5,1134,-50,114904,25837
90,General Dynamics,General Dynamics Corporation,GD,http://www.generaldynamics.com,"Falls Church, VA",Aerospace & Defense,Aerospace and Defense,98800,31353,-0.4,2955,-0.3,32872,10976
91,Rite Aid,Rite Aid Corporation,RAD,http://www.riteaid.com,"Camp Hill, PA",Food & Drug Stores,NA,70580,30737,15.9,165.5,-92.2,11277,581
92,Gilead Sciences,"Gilead Sciences, Inc.",GILD,http://www.gilead.com,"Foster City, CA",Health Care,Pharmaceuticals,9000,30390,-6.9,13501,-25.4,56977,18887
93,CHS,CHS Inc.,NA,http://www.chsinc.com,"Inver Grove Heights, MN","Food, Beverages & Tobacco",Food Production,12157,30347,-12.2,424.2,-45.7,17318,7852
94,3M,3M Company,MMM,http://www.3m.com,"St. Paul, MN",Industrials,Miscellaneous,91584,30109,-0.5,5050,4.5,32906,10298
95,Time Warner,Time Warner Inc.,TWX,http://www.timewarner.com,"New York, NY",Media,Entertainment,25000,29318,4.3,3926,2.4,65966,24335
96,Charter Communications,"Charter Communications, Inc.",CHTR,http://www.charter.com,"Stamford, CT",Telecommunications,Telecommunications,91500,29003,197.3,3522,NA,149067,40139
97,Northwestern Mutual,"Northwestern Mutual Life Insurance Company, Inc.",NA,http://www.northwesternmutual.com,"Milwaukee, WI",Financials,"Insurance: Life, Health (Mutual)",5646,28799,2.4,818,0.4,250441,20226
98,Facebook,"Facebook, Inc.",FB,http://www.facebook.com,"Menlo Park, CA",Technology,Internet Services and Retailing,17048,27638,54.2,10217,177,64961,59194
99,Travelers Cos.,"The Travelers Companies, Inc.",TRV,http://www.travelers.com,"New York, NY",Financials,Insurance: Property and Casualty (Stock),30900,27625,3.1,3014,-12.4,100245,23221
100,Capital One Financial,Capital One Financial Corporation,COF,http://www.capitalone.com,"McLean, VA",Financials,Commercial Banks,47300,27519,9.6,3751,-7.4,357033,47514
101,Twenty-First Century Fox,"Twenty-First Century Fox, Inc.",FOXA,http://www.21cf.com,"New York, NY",Media,Entertainment,21500,27326,-5.7,2755,-66.8,48365,13661
102,USAA,United Services Automobile Association,NA,http://www.usaa.com,"San Antonio, TX",Financials,Insurance: Property and Casualty (Stock),29943,27131,11.4,1779.1,-21.7,147290,28840
103,World Fuel Services,World Fuel Services Corporation,INT,http://www.wfscorp.com,"Miami, FL",Energy,Energy,5000,27016,-11.1,126.5,-27.5,5413,1925
104,Philip Morris International,Philip Morris International Inc.,PM,http://www.pmi.com,"New York, NY","Food, Beverages & Tobacco",Tobacco,79500,26685,-0.4,6967,1.4,36851,-12688
105,Deere,Deere & Company,DE,http://www.johndeere.com,"Moline, IL",Industrials,Construction and Farm Machinery,56767,26644,-7.7,1523.9,-21.4,57981,6520
106,Kraft Heinz,The Kraft Heinz Company,KHC,http://www.kraftheinzcompany.com,"Pittsburgh, PA","Food, Beverages & Tobacco",Food Consumer Products,41000,26487,44.4,3632,472.9,120480,57358
107,Tech Data,Tech Data Corporation,TECD,http://www.techdata.com,"Clearwater, FL",Wholesalers,Wholesalers: Electronics and Office Equipment,9500,26235,-0.5,195.1,-26.6,7932,2170
108,Avnet,"Avnet, Inc.",AVT,http://www.avnet.com,"Phoenix, AZ",Wholesalers,Wholesalers: Electronics and Office Equipment,17700,26219,-6.1,506.5,-11.4,11240,4691
109,Mondelez International,"Mondelez International, Inc.",MDLZ,http://www.mondelezinternational.com,"Deerfield, IL","Food, Beverages & Tobacco",Food Consumer Products,90000,25923,-12.5,1659,-77.2,61538,25161
110,Macy’s,"Macy's, Inc.",M,http://www.macysinc.com,"Cincinnati, OH",Retailing,General Merchandisers,148300,25778,-4.8,619,-42.3,19851,4323
111,AbbVie,AbbVie Inc.,ABBV,http://www.abbvie.com,"North Chicago, IL",Health Care,Pharmaceuticals,30000,25638,12.2,5953,15.7,66099,4636
112,McDonald’s,McDonald's Corporation,MCD,http://www.aboutmcdonalds.com,"Oak Brook, IL","Hotels, Restaurants & Leisure",Food Services,375000,24622,-3.1,4686.5,3.5,31024,-2204
113,DuPont,E.I. du Pont de Nemours and Company,DD,http://www.dupont.com,"Wilmington, DE",Chemicals,Chemicals,46000,NA,-12,2513,28.7,39964,9998
114,Northrop Grumman,Northrop Grumman Corporation,NOC,http://www.northropgrumman.com,"Falls Church, VA",Aerospace & Defense,Aerospace and Defense,67000,NA,4.2,2200,10.6,25614,5259
115,ConocoPhillips,ConocoPhillips,COP,http://www.conocophillips.com,"Houston, TX",Energy,"Mining, Crude-Oil Production",13300,24360,-21.3,-3615,NA,89772,34974
116,Raytheon,Raytheon Company,RTN,http://www.raytheon.com,"Waltham, MA",Aerospace & Defense,Aerospace and Defense,63000,24069,3.5,2211,6.6,30052,10066
117,Tesoro,Tesoro Corporation,TSO,http://www.tsocorp.com,"San Antonio, TX",Energy,Petroleum Refining,6308,24005,-14.7,734,-52.3,20398,5465
118,Arrow Electronics,"Arrow Electronics, Inc",ARW,http://www.arrow.com,"Centennial, CO",Wholesalers,Wholesalers: Electronics and Office Equipment,18700,23825,2.3,522.8,5,14206,4413
119,Qualcomm,Qualcomm Incorporated,QCOM,http://www.qualcomm.com,"San Diego, CA",Technology,Semiconductors and Other Electronic Components,30500,23554,-6.8,5705,8.2,52359,31778
120,Progressive,The Progressive Corporation,PGR,http://www.progressive.com,"Mayfield Village, OH",Financials,Insurance: Property and Casualty (Stock),31721,23441,12.4,1031,-18.7,33428,7957
121,Duke Energy,Duke Energy Corporation,DUK,http://www.duke-energy.com,"Charlotte, NC",Energy,Utilities: Gas and Electric,28798,23369,-1,2152,-23.6,132761,41033
122,Enterprise Products Partners,Enterprise Products Partners L.P.,EPD,http://www.enterpriseproducts.com,"Houston, TX",Energy,Pipelines,6800,23022,-14.8,2513.1,-0.3,52194,22047
123,Amgen,Amgen Inc.,AMGN,http://www.amgen.com,"Thousand Oaks, CA",Health Care,Pharmaceuticals,19200,22991,6.1,7722,11.3,77626,29875
124,US Foods Holding,US Foods Holding Corp.,USFD,http://www.usfoods.com,"Rosemont, IL",Wholesalers,Wholesalers: Food and Grocery,25000,22919,-0.9,209.8,25.2,8945,2538
