id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
1,9987,673.0,KRC Genk,GEN
2,9993,675.0,Beerschot AC,BAC
3,10000,15005.0,SV Zulte-Waregem,ZUL
4,9994,2007.0,Sporting Lokeren,LOK
5,9984,1750.0,KSV Cercle Brugge,CEB
6,8635,229.0,RSC Anderlecht,AND
7,9991,674.0,KAA Gent,GEN
8,9998,1747.0,RAEC Mons,MON
9,7947,,FCV Dender EH,DEN
10,9985,232.0,Standard de Liège,STL
11,8203,110724.0,KV Mechelen,MEC
12,8342,231.0,Club Brugge KV,CLB
13,9999,546.0,KSV Roeselare,ROS
14,8571,100081.0,KV Kortrijk,KOR
15,4049,,Tubize,TUB
16,9996,111560.0,Royal Excel Mouscron,MOU
17,10001,681.0,KVC Westerlo,WES
18,9986,670.0,Sporting Charleroi,CHA
614,9997,680.0,Sint-Truidense VV,STT
1034,9989,239.0,Lierse SK,LIE
1042,6351,2013.0,KAS Eupen,EUP
1513,1773,100087.0,Oud-Heverlee Leuven,O-H
2004,8475,110913.0,Waasland-Beveren,WAA
2476,8573,682.0,KV Oostende,OOS
2510,274581,111560.0,Royal Excel Mouscron,MOP
3457,10260,11.0,Manchester United,MUN
3458,10261,13.0,Newcastle United,NEW
3459,9825,1.0,Arsenal,ARS
3460,8659,109.0,West Bromwich Albion,WBA
3461,8472,106.0,Sunderland,SUN
3462,8650,9.0,Liverpool,LIV
3463,8654,19.0,West Ham United,WHU
3464,8528,1917.0,Wigan Athletic,WIG
3465,10252,2.0,Aston Villa,AVL
3466,8456,10.0,Manchester City,MCI
3467,8668,7.0,Everton,EVE
3468,8655,3.0,Blackburn Rovers,BLB
3469,8549,12.0,Middlesbrough,MID
3470,8586,18.0,Tottenham Hotspur,TOT
3471,8559,4.0,Bolton Wanderers,BOL
3472,10194,1806.0,Stoke City,STK
3473,8667,1952.0,Hull City,HUL
3474,9879,144.0,Fulham,FUL
3475,8455,5.0,Chelsea,CHE
3476,8462,1790.0,Portsmouth,POR
4218,8658,88.0,Birmingham City,BIR
4225,8602,110.0,Wolverhampton Wanderers,WOL
4234,8191,1796.0,Burnley,BUR
4996,8483,1926.0,Blackpool,BLA
5744,10003,1960.0,Swansea City,SWA
5747,10172,15.0,Queens Park Rangers,QPR
5756,9850,1792.0,Norwich City,NOR
6504,8466,17.0,Southampton,SOU
6509,9798,1793.0,Reading,REA
7261,9826,1799.0,Crystal Palace,CRY
7276,8344,1961.0,Cardiff City,CAR
8021,8197,95.0,Leicester City,LEI
8779,8678,1943.0,Bournemouth,BOU
8784,9817,1795.0,Watford,WAT
9537,8583,57.0,AJ Auxerre,AUX
9538,9830,71.0,FC Nantes,NAN
9539,9827,59.0,Girondins de Bordeaux,BOR
9540,7819,210.0,SM Caen,CAE
9541,9746,1738.0,Le Havre AC,LEH
9542,9831,72.0,OGC Nice,NIC
9543,8682,1739.0,Le Mans FC,LEM
9544,8689,217.0,FC Lorient,LOR
9545,9748,66.0,Olympique Lyonnais,LYO
9546,9941,1809.0,Toulouse FC,TOU
9547,9829,69.0,AS Monaco,MON
9548,9847,73.0,Paris Saint-Germain,PSG
9549,8481,1823.0,AS Nancy-Lorraine,NAN
9550,8639,65.0,LOSC Lille,LIL
9551,9851,74.0,Stade Rennais FC,REN
9552,8592,219.0,Olympique de Marseille,MAR
9553,9874,226.0,FC Sochaux-Montbéliard,SOC
9554,9855,1805.0,Grenoble Foot 38,GRE
9555,9873,110456.0,Valenciennes FC,VAL
9556,9853,1819.0,AS Saint-Étienne,ETI
10300,8588,64.0,RC Lens,LEN
10309,10249,70.0,Montpellier Hérault SC,MON
10312,4170,111376.0,US Boulogne Cote D'Opale,BOU
11074,108893,111989.0,AC Arles-Avignon,ARL
11076,8521,378.0,Stade Brestois 29,BRE
11817,8576,614.0,AC Ajaccio,AJA
11822,4087,111271.0,Évian Thonon Gaillard FC,ETG
11825,9836,110569.0,Dijon FCO,DIJ
12587,9837,379.0,Stade de Reims,REI
12594,7794,58.0,SC Bastia,BAS
12595,10242,294.0,ES Troyes AC,TRO
13343,9747,62.0,En Avant de Guingamp,GUI
14106,8550,68.0,FC Metz,MET
14868,8121,1530.0,Angers SCO,ANG
14876,6391,110316.0,GFC Ajaccio,GAJ
15617,9823,21.0,FC Bayern Munich,BMU
15618,9790,28.0,Hamburger SV,HAM
15619,8178,32.0,Bayer 04 Leverkusen,LEV
15620,9789,22.0,Borussia Dortmund,DOR
15621,10189,34.0,FC Schalke 04,S04
15622,9904,485.0,Hannover 96,HAN
15623,8721,175.0,VfL Wolfsburg,WOL
15624,8722,31.0,1. FC Köln,FCK
15625,9810,1824.0,Eintracht Frankfurt,EFR
15626,8177,166.0,Hertha BSC Berlin,HBE
15627,9912,159.0,DSC Arminia Bielefeld,BIE
15628,8697,38.0,SV Werder Bremen,WBR
15629,8398,162.0,FC Energie Cottbus,COT
15630,8226,10029.0,TSG 1899 Hoffenheim,HOF
15631,9788,23.0,Borussia Mönchengladbach,GLA
15632,10269,36.0,VfB Stuttgart,STU
15633,8295,1832.0,Karlsruher SC,KAR
15634,9911,160.0,VfL Bochum,BOC
16237,8358,25.0,SC Freiburg,FRE
16239,8165,171.0,1. FC Nürnberg,NUR
16243,9905,169.0,1. FSV Mainz 05,MAI
16848,8350,29.0,1. FC Kaiserslautern,KAI
16850,8152,110329.0,FC St. Pauli,STP
17465,8406,100409.0,FC Augsburg,AUG
18074,8194,110636.0,Fortuna Düsseldorf,FDU
18079,8357,165.0,SpVgg Greuther Fürth,GRF
18691,9776,110500.0,Eintracht Braunschweig,BRA
19305,8460,10030.0,SC Paderborn 07,PAD
19916,8234,111239.0,FC Ingolstadt 04,ING
19917,8262,110502.0,SV Darmstadt 98,DAR
20513,8524,39.0,Atalanta,ATA
20514,8551,1838.0,Siena,SIE
20515,8529,1842.0,Cagliari,CAG
20516,8543,46.0,Lazio,LAZ
20517,8530,110364.0,Catania,CAT
20518,10233,110556.0,Genoa,GEN
20519,8533,192.0,Chievo Verona,CHI
20520,8690,203.0,Reggio Calabria,REG
20521,8535,110374.0,Fiorentina,FIO
20522,9885,45.0,Juventus,JUV
20523,8564,47.0,Milan,ACM
20524,9857,189.0,Bologna,BOL
20525,8686,52.0,Roma,ROM
20526,9875,48.0,Napoli,NAP
20527,9882,1837.0,Sampdoria,SAM
20528,8636,44.0,Inter,INT
20529,9804,54.0,Torino,TOR
20530,9888,347.0,Lecce,LEC
20531,8600,55.0,Udinese,UDI
20532,8540,1843.0,Palermo,PAL
21280,9976,1848.0,Bari,BAR
21285,8537,1844.0,Livorno,LIV
21292,10167,50.0,Parma,PAR
22042,9880,110915.0,Cesena,CES
22044,9858,190.0,Brescia,BRE
22805,6269,112225.0,Novara,NOV
23523,9878,200.0,Pescara,PES
24273,9876,206.0,Hellas Verona,VER
24288,7943,111974.0,Sassuolo,SAS
25048,8534,1746.0,Empoli,EMP
25791,9891,111657.0,Frosinone,FRO
25804,208931,112409.0,Carpi,CAP
26547,8277,1909.0,Vitesse,VIT
26548,8674,1915.0,FC Groningen,GRO
26549,9803,1902.0,Roda JC Kerkrade,ROD
26550,8611,1908.0,FC Twente,TWE
26551,8525,1907.0,Willem II,WII
26552,8593,245.0,Ajax,AJA
26553,8464,1910.0,N.E.C.,NEC
26554,8526,635.0,De Graafschap,GRA
26555,9908,1903.0,FC Utrecht,UTR
26556,8640,247.0,PSV,PSV
26557,9791,100634.0,Heracles Almelo,HER
26558,10235,246.0,Feyenoord,FEY
26559,8614,100646.0,Sparta Rotterdam,SPA
26560,10217,650.0,ADO Den Haag,HAA
26561,6601,,FC Volendam,VOL
26562,10228,1913.0,SC Heerenveen,HEE
26563,10229,1906.0,AZ,ALK
26564,9761,1904.0,NAC Breda,NAC
27161,10219,1905.0,RKC Waalwijk,RKC
27168,9839,100651.0,VVV-Venlo,VEN
27780,10218,1971.0,Excelsior,EXC
29000,6413,1914.0,PEC Zwolle,ZWO
29617,7788,647.0,SC Cambuur,CAM
29624,6433,100632.0,Go Ahead Eagles,GAE
30222,6631,100626.0,FC Dordrecht,DOR
31443,10265,1873.0,Wisła Kraków,WIS
31444,8031,111429.0,Polonia Bytom,POB
31445,8020,111429.0,Polonia Bytom,GOR
31446,1601,874.0,Ruch Chorzów,CHO
31447,8673,1871.0,Legia Warszawa,LEG
31448,2183,1570.0,P. Warszawa,PWA
31449,8025,111092.0,Śląsk Wrocław,SLA
31450,8030,111091.0,Lechia Gdańsk,LGD
31451,8244,301.0,Widzew Łódź,LOD
31452,8242,1564.0,Odra Wodzisław,ODR
31453,2182,873.0,Lech Poznań,POZ
31454,8569,110744.0,GKS Bełchatów,BEL
31455,8322,111082.0,Arka Gdynia,ARK
31456,1957,110745.0,Jagiellonia Białystok,BIA
31457,8028,111086.0,Piast Gliwice,PIG
31458,2186,110747.0,Cracovia,CKR
31925,8245,111083.0,Korona Kielce,KKI
31928,8021,110749.0,Zagłębie Lubin,ZAG
32409,8024,301.0,Widzew Łódź,WID
32891,8033,111087.0,Podbeskidzie Bielsko-Biała,POD
33377,8023,110746.0,Pogoń Szczecin,POG
33855,8027,112512.0,Zawisza Bydgoszcz,ZAW
34337,8019,110565.0,Górnik Łęczna,LEC
34816,177361,,Termalica Bruk-Bet Nieciecza,TBN
35283,9773,236.0,FC Porto,POR
35284,9807,1889.0,CF Os Belenenses,BEL
35285,9768,237.0,Sporting CP,SCP
35286,7992,,Trofense,TRO
35287,7844,1887.0,Vitória Guimarães,GUI
35288,10238,665.0,Vitória Setúbal,SET
35289,6403,1892.0,FC Paços de Ferreira,FER
35290,10264,1896.0,SC Braga,BRA
35291,10213,,Amadora,AMA
35292,10215,1901.0,Académica de Coimbra,ACA
35293,7841,744.0,Rio Ave FC,RA
35294,9772,234.0,SL Benfica,BEN
35295,6421,10018.0,Leixões SC,LEI
35296,10214,1891.0,CD Nacional,NAC
35297,9809,100737.0,Naval 1° de Maio,NAV
35298,10212,1893.0,CS Marítimo,MAR
35769,9771,1895.0,"União de Leiria, SAD",ULE
35774,2033,111540.0,S.C. Olhanense,OLH
36248,9765,,Portimonense,POR
36253,10211,1897.0,SC Beira Mar,B-M
36723,4064,,Feirense,FEI
36735,9764,1888.0,Gil Vicente FC,GV
37210,8348,1900.0,Moreirense FC,MOR
37214,7842,10020.0,Estoril Praia,EST
37696,158085,112513.0,FC Arouca,ARO
38173,6547,100741.0,FC Penafiel,PEN
38176,8613,1898.0,Boavista FC,BOA
38789,6367,,Uniao da Madeira,MAD
38791,188163,,Tondela,TON
39387,8596,79.0,Falkirk,FAL
39388,8548,86.0,Rangers,RAN
39389,9860,80.0,Heart of Midlothian,HEA
39390,9927,83.0,Motherwell,MOT
39391,8597,82.0,Kilmarnock,KIL
39392,10251,81.0,Hibernian,HIB
39393,8485,77.0,Aberdeen,ABE
39394,8066,620.0,Inverness Caledonian Thistle,INV
39395,9925,78.0,Celtic,CEL
39396,9800,100805.0,St. Mirren,MIR
39397,8429,184.0,Hamilton Academical FC,HAM
39398,9938,181.0,Dundee United,DUU
39853,8467,100804.0,St. Johnstone FC,JOH
40757,8457,182.0,Dunfermline Athletic,DUN
41216,8284,180.0,Dundee FC,DUF
41217,8649,631.0,Ross County FC,ROS
41673,8426,1754.0,Partick Thistle F.C.,PAR
43035,10267,461.0,Valencia CF,VAL
43036,8661,453.0,RCD Mallorca,MAL
43037,8371,479.0,CA Osasuna,OSA
43038,10205,483.0,Villarreal CF,VIL
43039,9783,242.0,RC Deportivo de La Coruña,COR
43040,8633,243.0,Real Madrid CF,REA
43041,8388,477.0,CD Numancia,NUM
43042,8634,241.0,FC Barcelona,BAR
43043,8696,456.0,Racing Santander,SAN
43044,8302,481.0,Sevilla FC,SEV
43045,9869,459.0,Real Sporting de Gijón,SPG
43046,8305,1860.0,Getafe CF,GET
43047,8603,449.0,Real Betis Balompié,BET
43048,8479,571.0,RC Recreativo,HUE
43049,8558,452.0,RCD Espanyol,ESP
43050,10281,462.0,Real Valladolid,VAL
43051,8315,448.0,Athletic Club de Bilbao,BIL
43052,9865,1861.0,UD Almería,ALM
43053,9906,240.0,Atlético Madrid,AMA
43054,9864,573.0,Málaga CF,MAL
43800,9868,1742.0,Xerez Club Deportivo,XER
43803,8394,244.0,Real Zaragoza,ZAR
43804,9867,260.0,CD Tenerife,TEN
44557,10278,100879.0,Hércules Club de Fútbol,HER
44565,8581,1853.0,Levante UD,LEV
44569,8560,457.0,Real Sociedad,SOC
45330,7878,110832.0,Granada CF,GRA
45333,8370,480.0,Rayo Vallecano,RAY
46087,9910,450.0,RC Celta de Vigo,CEL
46848,10268,468.0,Elche CF,ELC
47605,8372,467.0,SD Eibar,EIB
47612,7869,1867.0,Córdoba CF,COR
48358,8306,472.0,UD Las Palmas,LAS
49115,9956,322.0,Grasshopper Club Zürich,GRA
49116,6493,1714.0,AC Bellinzona,BEL
49117,10192,900.0,BSC Young Boys,YB
49118,9931,896.0,FC Basel,BAS
49119,9930,434.0,FC Aarau,AAR
49120,10179,110770.0,FC Sion,SIO
49121,10199,897.0,FC Luzern,LUZ
49122,9824,286.0,FC Vaduz,VAD
49123,7955,435.0,Neuchâtel Xamax,XAM
49124,10243,894.0,FC Zürich,ZUR
49479,10190,898.0,FC St. Gallen,GAL
49837,10191,1715.0,FC Thun,THU
50201,9777,324.0,Servette FC,SER
50204,7730,1862.0,FC Lausanne-Sports,LAU
51606,7896,,Lugano,LUG
